Entities,Counts,Appearance_Percent,Popularity,Normalized Score,Popularity_Growth
Ariana Grande,62,23.08,1430.9599999999996,0.2017615664652034,0.17166
Travis Scott,60,23.08,1384.8,0.19523557063584634,0.10335
Kanye West,44,19.23,846.12,0.11907821722687592,0.08124
Nina Kraviz,25,23.08,577.0,0.08103064362209735,0.07562
Kid Cudi,20,26.92,538.4000000000002,0.07557346340084121,0.07171
Major Lazer,28,23.08,646.24,0.09081963736613298,0.06998
Jauz,27,15.38,415.2600000000001,0.05816421022867847,0.05662
Amelie Lens,21,23.08,484.68,0.06797865196338318,0.05254
Dillon Francis,31,23.08,715.4799999999998,0.1006086311101686,0.05118
Flying Lotus,19,26.92,511.48,0.07176757501855584,0.05092
DJ Snake,28,23.08,646.24,0.09081963736613298,0.04912
Thundercat,17,23.08,392.36,0.054926660304669,0.04797
Brown,14,23.08,323.12,0.045137666560633366,0.04514
Sahara,22,15.38,338.36,0.047292263103947976,0.04497
Billie Eilish,19,23.08,438.52,0.061452656134026076,0.0437
Burning Man,23,15.38,353.74,0.04946665252889408,0.04097
Lil Nas X,20,15.38,307.6,0.04294348425405578,0.03986
Donald Glover,25,11.54,288.5,0.04024316968861556,0.0387
Audio,13,30.77,400.01,0.05600819990810448,0.03825
Ed Sheeran,14,19.23,269.22,0.03751740713250628,0.03675
–,22,38.46,846.12,0.11907821722687592,0.03335
Four Tet,13,19.23,249.99,0.03479871346269396,0.03248
Tim Bergling,10,23.08,230.8,0.032085674901919214,0.03209
Prince,20,11.54,230.8,0.032085674901919214,0.03209
Weekend,12,19.23,230.76,0.03208001979288164,0.03208
Red Bull,15,15.38,230.7,0.032071537129325284,0.03207
Khalid,16,15.38,246.08,0.03424592655427138,0.03038
Avicii’s,14,15.38,215.32,0.029897147704379182,0.0299
Tiësto,16,19.23,307.68,0.04295479447213092,0.02983
NGHTMRE,12,19.23,230.76,0.03208001979288164,0.02976
Lil Peep,15,15.38,230.7,0.032071537129325284,0.02976
Excision,19,19.23,365.37,0.05111087548156788,0.02872
Ferry Corsten,16,15.38,246.08,0.03424592655427138,0.02807
London’s,10,19.23,192.3,0.026642632453256997,0.02433
Throne,15,11.54,173.1,0.02392818011522285,0.02393
Arena,8,19.23,153.84,0.02120524511363235,0.02121
George Clinton,8,19.23,153.84,0.02120524511363235,0.02121
Lil Dicky,10,15.38,153.8,0.02119959000459478,0.0212
ASAP Rocky,10,15.38,153.8,0.02119959000459478,0.0212
Lil Baby,9,19.23,173.07,0.023923938783444672,0.02084
BLACKPINK,13,11.54,150.01999999999995,0.020665182200544304,0.02067
Maroon 5,15,11.54,173.1,0.02392818011522285,0.02006
Ty Dolla,11,15.38,169.18,0.02337397942954088,0.01951
Green Velvet,10,23.08,230.8,0.032085674901919214,0.01742
Ventura,11,11.54,126.94,0.017402184285865766,0.0174
Maceo Plex,13,19.23,249.99,0.03479871346269396,0.01704
Thomas Wesley,8,15.38,123.04,0.01685081115470258,0.01685
Ellie Goulding,8,15.38,123.04,0.01685081115470258,0.01685
Fall Out Boy,10,15.38,153.8,0.02119959000459478,0.01579
PhaseOne,10,11.54,115.4,0.015770685328526494,0.01577
@joeflech,15,7.69,115.35,0.015763616442229532,0.01576
ILLENIUM,13,11.54,150.01999999999995,0.020665182200544304,0.01527
Rico Nasty,13,11.54,150.01999999999995,0.020665182200544304,0.01526
Alison Wonderland,15,26.92,403.8,0.05654402148941435,0.01484
Jai Wolf,6,19.23,115.38,0.01576785777400771,0.01423
Nas,9,11.54,103.86,0.014139186371187218,0.01414
Track,9,11.54,103.86,0.014139186371187218,0.01414
Cardi B,17,15.38,261.46000000000004,0.03642031597921748,0.01402
Honey Dijon,9,15.38,138.42000000000002,0.019025200579648682,0.01363
Chance the Rapper,23,11.54,265.42,0.03698017177393701,0.01305
Marshmello’s,9,11.54,103.86,0.014139186371187218,0.0126
Coachella’s,9,11.54,103.86,0.014139186371187218,0.0126
Chance,8,11.54,92.32,0.012507687413847949,0.01251
T,6,15.38,92.28,0.01250203230481038,0.0125
David Lynch,7,15.38,107.66,0.014676421729756481,0.01236
u,24,19.23,461.52,0.0647043438306295,0.01142
XXXTENTACION,11,7.69,84.59,0.011414837592337329,0.01141
Joey Bada$$,7,11.54,80.78,0.01087618845650868,0.01088
Luke Combs,7,11.54,80.78,0.01087618845650868,0.01088
KING &,7,11.54,80.78,0.01087618845650868,0.01088
Polo & Pan,7,11.54,80.78,0.01087618845650868,0.01088
JAY-Z,14,7.69,107.66,0.014676421729756481,0.01082
Ella Mai,14,7.69,107.66,0.014676421729756481,0.01081
Taylor Swift,8,15.38,123.04,0.01685081115470258,0.01067
Beyoncé,11,7.69,84.59,0.011414837592337329,0.01064
The Black Keys,14,19.23,269.22,0.03751740713250628,0.0105
Madonna,10,7.69,76.9,0.01032764287986428,0.01033
6ix9ine,10,7.69,76.9,0.01032764287986428,0.01033
Adriatique,7,11.54,80.78,0.01087618845650868,0.0101
Bayfront Park,10,11.54,115.4,0.015770685328526494,0.00959
Victoria Monét,6,11.54,69.24,0.009244689499169408,0.00924
Oasis,6,11.54,69.24,0.009244689499169408,0.00924
Ariana,6,11.54,69.24,0.009244689499169408,0.00924
Kirk Franklin,6,11.54,69.24,0.009244689499169408,0.00924
Kevin Abstract,9,7.69,69.21000000000001,0.009240448167391231,0.00924
Aretha Franklin,5,19.23,96.15,0.013049164104195387,0.00919
Catch,10,19.23,192.3,0.026642632453256997,0.00889
Conor Oberst,10,7.69,76.9,0.01032764287986428,0.00878
The Weeknd,6,15.38,92.28,0.01250203230481038,0.00864
Tale Of Us,7,11.54,80.78,0.01087618845650868,0.00856
Prydz,7,11.54,80.78,0.01087618845650868,0.00856
Chris Liebing,7,11.54,80.78,0.01087618845650868,0.00856
Hot Since,7,11.54,80.78,0.01087618845650868,0.00856
Katy Perry,7,15.38,107.66,0.014676421729756481,0.0085
Andy C,8,15.38,123.04,0.01685081115470258,0.00836
Big Wild,4,15.38,61.52,0.00815325345491818,0.00815
Head,4,15.38,61.52,0.00815325345491818,0.00815
Such,4,15.38,61.52,0.00815325345491818,0.00815
Jacob Banks,4,15.38,61.52,0.00815325345491818,0.00815
Shabazz Palaces,4,15.38,61.52,0.00815325345491818,0.00815
The Coachella,4,15.38,61.52,0.00815325345491818,0.00815
Denzel Curry,4,15.38,61.52,0.00815325345491818,0.00815
Ramin Djawadi,4,15.38,61.52,0.00815325345491818,0.00815
Billy Ray Cyrus,8,7.69,61.52,0.00815325345491818,0.00815
Mumford & Sons,4,15.38,61.52,0.00815325345491818,0.00815
Killers,10,7.69,76.9,0.01032764287986428,0.00801
Hot Chip,5,15.38,76.9,0.01032764287986428,0.00801
Have,5,15.38,76.9,0.01032764287986428,0.00801
Eats Everything,9,11.54,103.86,0.014139186371187218,0.00796
Everyone,17,19.23,326.91,0.04567348814194324,0.00783
David Byrne,7,15.38,107.66,0.014676421729756481,0.00772
Stephan Bodzin,7,19.23,134.61,0.01848655144382003,0.00768
Image,5,11.54,57.7,0.007613190541830134,0.00761
Afterlife,5,11.54,57.7,0.007613190541830134,0.00761
Martin Starr,5,11.54,57.7,0.007613190541830134,0.00761
Documentary,5,11.54,57.7,0.007613190541830134,0.00761
Bob Moses,5,11.54,57.7,0.007613190541830134,0.00761
Mad Decent,5,11.54,57.7,0.007613190541830134,0.00761
Salvatore Ganacci,5,11.54,57.7,0.007613190541830134,0.00761
Moby’s,5,11.54,57.7,0.007613190541830134,0.00761
Macklemore,5,11.54,57.7,0.007613190541830134,0.00761
Prime,5,11.54,57.7,0.007613190541830134,0.00761
Brendon Urie,5,11.54,57.7,0.007613190541830134,0.00761
Lost Lands,9,11.54,103.86,0.014139186371187218,0.00719
Ekali,6,15.38,92.28,0.01250203230481038,0.00709
Koenig,12,7.69,92.28,0.01250203230481038,0.00709
Lil Nas X’s,7,7.69,53.83000000000001,0.00706605874244513,0.00707
I’ll,6,11.54,69.24,0.009244689499169408,0.00693
Diplo,6,11.54,69.24,0.009244689499169408,0.00693
Yellow Claw,7,19.23,134.61,0.01848655144382003,0.00691
SZA,5,11.54,57.7,0.007613190541830134,0.00684
Blood Orange,10,7.69,76.9,0.01032764287986428,0.00646
Tierra Whack,5,11.54,57.7,0.007613190541830134,0.00607
Mike Mills,6,7.69,46.14,0.005978864029972078,0.00598
Jeff Mills,4,11.54,46.16,0.0059816915844908645,0.00598
It’s,4,11.54,46.16,0.0059816915844908645,0.00598
Seth Troxler,4,11.54,46.16,0.0059816915844908645,0.00598
Agoria,4,11.54,46.16,0.0059816915844908645,0.00598
Juice WRLD,4,11.54,46.16,0.0059816915844908645,0.00598
Dropbox,6,7.69,46.14,0.005978864029972078,0.00598
Toro y Moi,4,11.54,46.16,0.0059816915844908645,0.00598
Nile Rodgers,4,11.54,46.16,0.0059816915844908645,0.00598
Pelican,6,7.69,46.14,0.005978864029972078,0.00598
The Rolling Stones,4,11.54,46.16,0.0059816915844908645,0.00598
Radiohead’s,6,7.69,46.14,0.005978864029972078,0.00598
Pioneer,6,7.69,46.14,0.005978864029972078,0.00598
Stevie Wonder,6,7.69,46.14,0.005978864029972078,0.00598
SHADES,6,7.69,46.14,0.005978864029972078,0.00598
Lil Uzi Vert,6,7.69,46.14,0.005978864029972078,0.00598
Titus Andronicus,6,7.69,46.14,0.005978864029972078,0.00598
Lykke Li,6,7.69,46.14,0.005978864029972078,0.00598
Here’s,4,15.38,61.52,0.00815325345491818,0.00583
Rolling Stone,6,15.38,92.28,0.01250203230481038,0.00555
Kenny Beats,7,7.69,53.83000000000001,0.00706605874244513,0.00552
H.E.R.,7,11.54,80.78,0.01087618845650868,0.00547
DJ Snake’s,6,11.54,69.24,0.009244689499169408,0.00538
Adventure Club,5,11.54,57.7,0.007613190541830134,0.0053
Woodstock,4,11.54,46.16,0.0059816915844908645,0.00521
Skepta,5,15.38,76.9,0.01032764287986428,0.00492
PJ Harvey,5,7.69,38.45,0.004891669317499029,0.00489
Nicki Minaj,5,7.69,38.45,0.004891669317499029,0.00489
EarthGang,5,7.69,38.45,0.004891669317499029,0.00489
Diddy,5,7.69,38.45,0.004891669317499029,0.00489
Dead & Company,5,7.69,38.45,0.004891669317499029,0.00489
Neil Young,5,7.69,38.45,0.004891669317499029,0.00489
